
2024/09/26 (21:18:24) | ===> btop++ v.1.3.2
2024/09/26 (21:18:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (14:53:02) | ===> btop++ v.1.4.0
2024/09/28 (14:53:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/28 (14:53:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (14:54:18) | ===> btop++ v.1.4.0
2024/09/28 (14:54:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/28 (14:54:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (15:00:13) | ===> btop++ v.1.4.0
2024/09/28 (15:00:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/28 (15:00:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (22:45:12) | ===> btop++ v.1.4.0
2024/09/30 (22:45:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/30 (22:45:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (12:38:01) | ===> btop++ v.1.4.0
2024/10/07 (12:38:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/07 (12:38:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (05:21:13) | ===> btop++ v.1.4.0
2024/11/02 (05:21:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (22:29:23) | ===> btop++ v.1.4.0
2024/11/02 (22:29:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (22:29:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (22:38:03) | ===> btop++ v.1.4.0
2024/11/02 (22:38:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (22:38:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (23:06:11) | ===> btop++ v.1.4.0
2024/11/02 (23:06:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (23:06:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (23:34:02) | ===> btop++ v.1.4.0
2024/11/02 (23:34:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (23:34:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (23:34:10) | ===> btop++ v.1.4.0
2024/11/02 (23:34:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (23:34:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (11:15:30) | ===> btop++ v.1.4.0
2024/12/08 (11:15:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/08 (11:15:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (13:40:26) | ===> btop++ v.1.4.0
2024/12/08 (13:40:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/08 (13:40:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (16:04:39) | ===> btop++ v.1.4.0
2024/12/08 (16:04:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/08 (16:04:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (16:31:13) | ===> btop++ v.1.4.0
2024/12/08 (16:31:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/08 (16:31:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (16:35:53) | ===> btop++ v.1.4.0
2024/12/08 (16:35:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/08 (16:35:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (16:51:53) | ===> btop++ v.1.4.0
2024/12/08 (16:51:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/08 (16:51:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (15:36:53) | ===> btop++ v.1.4.0
2025/01/20 (15:36:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/20 (15:36:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (13:29:53) | ===> btop++ v.1.4.0
2025/01/23 (13:29:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/23 (13:29:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (19:41:49) | ===> btop++ v.1.4.0
2025/01/26 (19:41:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/26 (19:41:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (16:56:12) | ===> btop++ v.1.4.0
2025/01/27 (16:56:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/27 (16:56:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (10:08:31) | ===> btop++ v.1.4.0
2025/02/05 (10:08:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (09:52:38) | ===> btop++ v.1.4.0
2025/02/06 (09:52:38) | WARNING: Intel GPU: Failed to initialize PMU
